0.2197,0.7893,0.3279,0.9422
-2.059e-002,0.1255,0.9037,3.764e-002
1.454e-002,5.763e-002,-3.131e-002,0.9101
6.376e-003,-2.625e-002,-2.45e-002,1.006
-8.394e-003,0.6714,0.8741,7.358e-002
1.73e-002,0.1174,-1.525e-002,0.8386
-6.805e-003,0.7877,0.4239,1.402e-002
4.249e-003,0.8001,0.5857,8.619e-003
-0.144,1.024,0.239,0.9958
-2.426e-002,1.045,0.949,1.001
3.42e-003,0.6556,0.2111,6.453e-003
-1.479e-002,1.023,0.3763,0.9954
0.144,0.8543,9.057e-002,0.8727
-2.651e-002,-7.794e-003,0.849,1.033
1.818e-002,0.8583,0.306,5.342e-003
1.29e-002,3.531e-003,6.26e-003,0.968
7.33e-003,0.1514,0.8978,9.405e-003
-1.212e-003,0.6289,0.6661,7.174e-003
0.9598,4.425e-002,3.176e-002,1.298e-002
8.924e-003,0.1529,0.1007,2.123e-002
6.357e-003,0.1166,0.8066,7.395e-003
-1.146e-002,1.035,0.8405,0.9901
1.101e-002,1.016,0.8651,0.9995
0.4209,0.5806,9.133e-002,0.8754
5.351e-004,-3.508e-002,-1.328e-002,1.018
6.462e-003,0.6705,0.8818,7.862e-003
5.789e-003,0.8412,0.3348,5.634e-003
5.231e-004,0.1252,0.7124,0.815
0.8847,0.1223,7.443e-002,1.004
-5.77e-003,0.5937,0.2436,0.2879
0.9681,2.995e-002,1.614e-002,1.293e-002
0.9673,2.877e-002,1.621e-002,1.629e-002
-1.357e-002,-4.785e-002,0.8444,1.02
-5.83e-003,0.2901,0.7066,0.5375
0.9681,2.865e-002,1.595e-002,1.292e-002
7.031e-003,0.2354,0.4408,3.835e-002
-7.822e-002,1.021,0.9485,1.04
-5.916e-002,1.017,0.1504,0.9957
-1.71e-002,1.045,0.9322,1.003
0.9942,1.108e-002,-7.421e-003,1.022
7.655e-003,0.1799,0.1921,1.788e-002
1.308e-002,6.495e-003,-3.797e-002,0.968
-6.397e-003,0.5288,0.2962,0.32
0.5073,0.5221,0.7507,1.09
-5.876e-003,0.6367,0.8965,5.859e-003
2.475e-002,0.9792,0.2444,0.977
6.75e-003,0.1408,0.8992,6.035e-003
1.771e-002,4.514e-002,-1.105e-002,0.9191
-4.761e-003,0.8001,0.3082,2.885e-002
-1.808e-003,0.5471,0.9275,6.048e-003
-4.273e-003,0.7203,0.2881,1.537e-002
4.808e-003,0.3982,0.8032,7.781e-003
-8.925e-002,1.008,0.2084,0.9993
0.145,2.167e-002,1.147e-002,6.119e-003
-2.612e-003,0.8082,0.2492,1.707e-002
-4.791e-003,0.1076,0.9032,2.121e-002
0.9683,2.859e-002,1.589e-002,1.309e-002
9.403e-003,0.782,0.2787,9.068e-003
0.9668,3.08e-002,1.61e-002,1.289e-002
8.681e-003,0.2119,0.1068,5.093e-002
-3.032e-002,1.053,0.9484,0.999
0.2733,0.7342,0.2859,0.9008
0.9744,2.386e-002,1.18e-002,0.1751
-1.449e-002,1.014,0.2453,0.9968
1.407e-002,7.482e-002,-2.979e-002,0.8907
4.587e-003,-3.43e-002,1.279e-002,1.015
4.953e-003,0.5147,0.3972,0.2557
5.388e-003,0.2002,0.3781,0.749
-4.927e-002,1.058,0.8865,0.9969
0.9682,2.955e-002,1.617e-002,1.294e-002
7.59e-003,1.014,0.7572,0.9816
7.723e-003,0.2002,5.281e-002,5.369e-002
8.703e-003,0.1148,0.3184,9.197e-003
-2.445e-003,0.3212,0.4106,0.1558
6.883e-003,0.8409,0.1659,5.175e-003
2.472e-003,2.116e-002,0.6291,0.9235
1.796e-002,-3.387e-002,-2.161e-002,1.007
-2.641e-004,0.1472,0.9001,1.457e-002
0.959,5.391e-002,0.4403,2.172e-002
2.031e-003,0.8116,0.1164,1.058e-002
1.099e-002,2.391e-002,-1.033e-002,0.9382
0.9688,2.823e-002,1.572e-002,2.437e-002
-8.971e-003,1.007,8.386e-002,0.9966
0.9943,1.087e-002,-6.527e-003,1.013
-1.76e-002,1.028,0.4377,0.9958
7.859e-003,0.1748,0.1232,2.764e-002
-2.708e-002,2.179e-002,0.8465,1.012
-5.665e-003,0.716,0.9065,7.567e-003
6.645e-003,0.1923,0.1612,4.048e-002
-6.658e-004,9.623e-002,0.9019,1.58e-002
-1.354e-002,1.012,9.735e-002,0.9939
0.1581,4.11e-002,0.5182,0.3752
-5.048e-003,0.8489,0.832,6.065e-003
-2.172e-002,1.049,0.9371,1.002
1.089e-002,1.248e-002,-9.716e-003,0.9603
0.9677,2.924e-002,1.695e-002,1.323e-002
9.993e-003,0.1989,0.2639,3.328e-002
1.528e-002,-1.599e-002,0.1004,0.9816
-6.269e-003,0.7856,0.8888,7.588e-003
2.087e-003,0.2298,0.8858,1.119e-002
3.07e-003,4.675e-003,0.7997,0.9391
3.602e-003,0.8472,0.5108,6.345e-003
-5.027e-002,1.046,0.9475,1.012
2.093e-003,0.2586,0.8647,8.118e-003
5.324e-003,1.021,0.8628,0.9938
0.9653,2.909e-002,2.158e-002,1.289e-002
-4.365e-002,1.027,0.2753,0.9871
0.1616,0.8477,0.3603,0.9094
0.98,2.596e-002,2.135e-002,1.005
8.701e-003,0.8294,9.755e-002,6.596e-003
4.717e-003,0.5455,0.9322,7.146e-003
-5.025e-003,1.,8.692e-002,0.987
-5.482e-002,1.055,0.932,0.9995
